X,Y,osm_id,osm_type,completeness,is_in_health_zone,amenity,speciality,addr_full,operator,water_source,changeset_id,insurance,staff_doctors,contact_number,uuid,electricity,opening_hours,operational_status,source,is_in_health_area,health_amenity_type,changeset_version,emergency,changeset_timestamp,name,staff_nurses,changeset_user,wheelchair,beds,url,dispensing,healthcare,operator_type
,,"338080499",way,10,,clinic,,,,,"30155558",,,,9fa078329e1b461f9c60996f1d649211,,,,,,,"1",,2015/04/12 04:48:03,centre se santé Serigne Abdoul Aziz Sy Dabakh,,NDIMBLANE,,,,,,
-17.0755246735924,14.4845810897691,"2304973032",node,10,,pharmacy,,,,,"16137054",,,,420c2d87ed9046e4ab568fc57476a5c5,,,,,,,"1",,2013/05/15 11:06:46,,,JFLorne,,,,yes,,
,,"560306663",way,13,,hospital,,,,,"56238648",,,,737d0153b5eb459cbfe5edd9d3e27434,,,,,,,"1",,2018/02/10 11:28:54,Kossanto Health Post,,ElleDj,,,,,hospital,
-16.4523751834616,14.6926107902613,"6335934416",node,17,,pharmacy,,,Privée,,"78548702",,,,21acbcd75a8c424991ae9a24a57b6241,,"08:00-13:00,15:00-20:00",,,,,"3",,2019/12/17 23:16:20,,,CRCulver,limited,,,,,
-17.361391828258,14.7503255580289,"5169549325",node,13,,clinic,,,,,"71224611",,,,6799174798f147188218ac789fb1d62a,,,,,,,"2",,2019/06/13 16:23:01,Clinique camed,,mapman44,,,,,clinic,
-17.4314125709889,14.7389754553036,"4075391732",node,13,,pharmacy,,,,,"71224078",,,,699d7fefe9dc4182b65d2513a78c8609,,,,,,,"2",,2019/06/13 16:06:45,pharmacie COURO,,mapman44,,,,,pharmacy,
,,"423878529",way,13,,pharmacy,,,,,"70940288",,,,b8e8ac143a474c8088a2d15e66980431,,,,,,,"2",,2019/06/04 23:07:30,Pharmacie CHEIKH IBRAHIMA DIALLO,,mapman44,,,,,pharmacy,
-17.4302731350715,14.7661589731237,"4241764939",node,13,,pharmacy,,,,,"70940288",,,,eba3c8d4adf548b4b47ee8920c341dc4,,,,,,,"3",,2019/06/04 23:07:30,Seydina Issa Laye,,mapman44,,,,,pharmacy,
-17.4380551454349,14.6978675846556,"4075431905",node,13,,pharmacy,,,,,"71224527",,,,18601579e9af4ab0b71fdddf9eb1ca16,,,,,,,"2",,2019/06/13 16:20:37,Pharmacie LA ROCADE,,mapman44,,,,,pharmacy,
-17.3853610538491,14.7627326187445,"4529421671",node,10,,clinic,,,,,"48164283",,,,82679586fd1c48c1abdb72ecea88899f,,,,,,,"3",,2017/04/26 14:00:22,Case de santé Mousdalifa Usaid/sc,,Ismaila SEYE,,,,,,
-17.4245661486577,14.7402083494414,"4075391727",node,13,,pharmacy,,,,,"71224078",,,,cba2cd01d3724a84a9401e9778848bb4,,,,,,,"3",,2019/06/13 16:06:45,Pharmacie HLM Maristes,,mapman44,,,,,pharmacy,
-16.9356847729019,14.7957063552768,"4138888990",node,10,,doctors,,,,,"38760738",,,,ed2ce649c42842cbbebabe339cde1ced,,,,,,,"1",,2016/04/21 15:49:17,Administration,,joe_engmark,,,,,,
,,"206839946",way,20,,pharmacy,,,,,"22732562",,,,cff78024f3644ac0ad3d21e15c2cd9d1,,Mo-Fr 08:30-20:00,,bing,,,"2",,2014/06/04 11:17:48,Brigade Lamp Fall,,moudiouf1,,,,yes,,
-17.4657911144931,14.7384195674852,"4637470319",node,10,,doctors,,,,,"68404087",,,,4f220f0c1c7c4a188084f3817584ab91,,,,,,,"2",,2019/03/22 09:57:08,Centre de santé SAMU Municipal,,Jean-Marc Liotier,,,,,,
-17.4086128723476,14.7745680336635,"4818848411",node,10,,pharmacy,,,,,"48175570",,,,b829c01b135a4659bfb56e071e666332,,,,,,,"1",,2017/04/26 21:13:10,Pharmacie Nguyen,,SeverinGeo,,,,,,
-17.4524602004099,14.6928114530233,"5179083125",node,13,,pharmacy,,,,,"71224527",,,,f830b35e21104b58b5ddcdac0dc7e44f,,,,,,,"3",,2019/06/13 16:20:37,Fass Paillote,,mapman44,,,,,pharmacy,
-17.442363359847,14.7082583785627,"4076543519",node,13,,pharmacy,,,,,"71224527",,,,16b49e6ceb6d47acaeff080336330d8e,,,,,,,"2",,2019/06/13 16:20:37,PHARMACIE CORNICHE HLM V,,mapman44,,,,,pharmacy,
-16.8117334402291,14.964717542125,"4951295906",node,10,,clinic,,,,,"50039339",,,,26125ad64b8d43e18a56f5ac96a89884,,,,,,,"1",,2017/07/04 17:09:33,Clinique Goumoune,,malick mbao,,,,,,
-17.3696519423784,14.7651742671389,"5180260460",node,10,,pharmacy,,,,,"53130979",,,,0ad22db20976446aa63a13ec49ddd0e6,,,,,,,"1",,2017/10/21 15:26:49,Pharmacie Serigne Saliou MBACKE,,morhane,,,,,,
,,"328020255",way,13,,hospital,,,,,"43588008",,,,e740437ab0364086baf7caf423e6b2b7,,,,survey,,,"3",,2016/11/12 19:05:35,Maternité,,averell847,,,,,,
-17.4407796830614,14.6720950764157,"4931371023",node,10,,doctors,,,,,"49754961",,,,98039ac8b5134db8b0b49cbb1e41e041,,,,,,,"1",,2017/06/22 19:12:56,SALYSO (dentiste),,Papa Babacar Samba,,,,,,
-17.4555604149366,14.6844027277596,"4313710528",node,10,,doctors,,,,,"40909611",,,,e3555b53377b4d4fb5956ad0755c62bd,,,,,,,"1",,2016/07/21 00:38:01,Centre du Diabète Marc Sankalé,,Arona KANE,,,,,,
,,"214182700",way,10,,pharmacy,,,,,"62707702",,,,4a60c084db8e465cbb8b66dc4843cb32,,,,Field survey,,,"2",,2018/09/18 19:10:43,,,loxdi,,,,,,
-17.4676922139519,14.7294288866842,"4076469840",node,10,,pharmacy,,,,,"38037936",,,,629dc045ce2f417ba7a74b9e5e9534e9,,,,,,,"1",,2016/03/24 10:23:38,PHARMACIE LAHAD,,Ray1998,,,,,,
,,"265764175",way,6,,clinic,,,,,"21063802",,,,41345e707332441aa3490b329cdb57d9,,,,,,,"2",,2014/03/12 13:22:35,,,pstng,,,,,,
-16.9166119198686,14.7687396772918,"4138093390",node,10,,hospital,,,,,"78702439",,,,c5015e23aff64e02936ad5a31e56574d,,,,,,,"2",,2019/12/21 00:15:31,Poste De Sante Silmang,,CRCulver,,,,,,
-17.4566613779185,14.72772476195,"4077890543",node,10,,pharmacy,,,,,"38059184",,,,a12a8a7eff584d13af41368c07b5465c,,,,,,,"1",,2016/03/25 10:06:38,PHARMACIE DIARAAF MBOR NDOYE,,Ray1998,,,,,,
-17.4560701184686,14.7364503231536,"4956827014",node,10,,pharmacy,,,,,"50109006",,,,1450bd89a5c54e1d93e76579a90feb3a,,,,,,,"1",,2017/07/07 13:31:23,Pharmacie Ahmed Achou Tidjani,,Jacques Cartier,,,,,,
,,"602194913",way,13,,clinic,,,,,"60188666",,,,f8af4bbac7d5442795fb8f2f2129cf27,,,,,,,"1",,2018/06/26 16:53:42,Dispensaire de Ndiaffate,,Youssoupha MBODJI,,,,,clinic,
-16.9165883667207,14.7687663317439,"4138175489",node,10,,hospital,,,,,"38754112",,,,6133759d3eaa4f90a8e4d36a33b4536a,,,,,,,"2",,2016/04/21 10:59:26,Poste De Sante Silmang,,Alim8275,,,,,,
-17.4502942328108,14.7505834691896,"2522379493",node,13,,pharmacy,,,,,"70940288",,,,888ce6d9b5094b30ba6363a88c97be53,,,,,,,"5",,2019/06/04 23:07:30,LEOPOLD SEDAR SENGOHRE,,mapman44,,,,,pharmacy,
-16.0758764376186,14.1576369936782,"3592926100",node,10,,pharmacy,,,,,"33336004",,,,6157d6dccb724388b9fa1c1e413bd82f,,,,Microsoft Bing orbital imagery,,,"2",,2015/08/14 13:10:26,,,Jean-Marc Liotier,,,,,,
-16.5495733252233,15.1057405484484,"4691016983",node,10,,doctors,,,,,"68404087",,,,4b00cc46b5354420837428ac71bfffd1,,,,,,,"2",,2019/03/22 09:57:08,Poste de Santé Merina Dakhar,,Jean-Marc Liotier,,,,,,
-17.4619318348149,14.6800149690863,"5304605322",node,10,,hospital,,,,,"54926795",,,,a39d72c3c47945fdbe1d1b683b7f04b6,,,,,,,"1",,2017/12/26 10:59:57,SOS Cardio,,Taiwhenua,,,,,,
-17.3889591534244,14.7637159836248,"4930510819",node,10,,pharmacy,,,,,"49742176",,,,4ba79d95ef074a93b92dfc5f7359eaec,,,,,,,"1",,2017/06/22 10:01:37,Pharmacie Ablaye gadiaga,,cheikhou oumar,,,,,,
-17.4082554679963,14.7479224663891,"4485775394",node,13,,clinic,,,,,"71224078",,,,3a2d51c5cdb249edb5562089e6beef8c,,,,,,,"3",,2019/06/13 16:06:45,Infirmerie Dakar DEM DIKK,,mapman44,,,,,clinic,
-17.4296682131195,14.6681275863676,"554166629",node,6,,doctors,,,,,"29722281",,,,adf87dea48de4249b05c03b8168911cc,,,,,,,"2",,2015/03/25 09:02:44,,,Vincent Turmine,,,,,,
-17.461654645277,14.7139250480222,"823731767",node,10,,pharmacy,,,,,"5255849",,,,ea9bb4be3e4046eba8a047c4f05bc7fe,,,,,,,"1",,2010/07/18 21:25:03,Kuky,,Lemzo,,,,,,
-16.9356626446775,14.7960955270412,"4138900115",node,10,,doctors,,,,,"38760845",,,,09540628fc044ac79fc0c64e3894131b,,,,,,,"1",,2016/04/21 15:54:12,Pharmacy/Opthalmology,,joe_engmark,,,,,,
-17.427488163923,14.7421007317209,"4075391729",node,13,,pharmacy,,,,,"71224078",,,,7870776adf674dbb941781c141921bcc,,,,,,,"3",,2019/06/13 16:06:45,Pharmacie NABY RASSOUL PSL,,mapman44,,,,,pharmacy,
-17.4587241642895,14.6790207915509,"4389091892",node,10,,clinic,,,,,"41976481",,,,68a1b95c7a904ef68a7a7a324133c66a,,,,,,,"1",,2016/09/07 10:53:48,S.O.S. Medecin,,ljiljana tara,,,,,,
-17.44555652968,14.6960253261571,"4219967493",node,17,,doctors,,,,,"72669214",,,,e2aadbac87b742c39ffd82545c77e720,,06:00-18:00,,,,,"5",,2019/07/26 04:41:18,Centre de santé de Colobane,,HubMiner,,,,,doctor,
-15.8129037809192,16.5034647283287,"2966130533",node,13,,hospital,,,Santé,,"24183337",,,,3ea0fe328c02471baac3df464b1d1449,,,,,,,"1",,2014/07/16 14:57:53,District sanitaire de Rosso/Sénégal,,Grand Moulin,,,,,,
-17.4874931190948,14.7188369271009,"5238216589",node,10,,clinic,,,,,"53928972",,,,e125abe9d0974b6fa933455ce1b63a77,,,,,,,"1",,2017/11/19 17:41:08,Clinique Marose,,Aminata DIAGNE,,,,,,
-17.439164909415,14.7245637786252,"4949700821",node,13,,pharmacy,,,,,"71224078",,,,de63bad1dd8c49c283a23cbd0455db86,,,,,,,"2",,2019/06/13 16:06:45,Hann Maristes,,mapman44,,,,,pharmacy,
-16.8061174812838,14.9606630479219,"4409568508",node,10,,doctors,,,,,"42297209",,,,b99884314f3d43c9b65e61c1e14d9abd,,,,,,,"1",,2016/09/20 12:10:20,serigne niane,,aminata_seye,,,,,,
,,"679199455",way,13,,hospital,,,,,"68498839",,,,4dae98e05dbb4abd836d2d9ca7ca5c4c,,,,Esri,,,"1",,2019/03/25 09:28:08,Maternité Soeurs du Sacré Coeur,,jeanmariemancabou,,,,,,
-17.3751686595901,14.7866118226955,"4885299552",node,10,,pharmacy,,,,,"49098369",,,,c67036653bdc4401922cd55bbcf5ad0b,,,,,,,"1",,2017/05/30 09:38:42,Houda,,gayealy,,,,,,
-17.3954465788426,14.7600262698478,"4952935905",node,17,,pharmacy,,,,,"66570262",,,,bdc2377fa9e64086b6316754d90baba4,,,,,,,"2",,2019/01/23 13:41:41,Pharmacie Serigne Mbacké Médina,,saliou ndiaye,,,,yes,pharmacy,
,,"423874949",way,10,,pharmacy,,,,,"39908851",,,,d3ff8935fcc7434dae146545ae23cc4b,,,,,,,"1",,2016/06/09 13:38:22,Pharmacie VICTOIRE,,Mawuto,,,,,,
-17.4728720624751,14.7335770905648,"4956870871",node,10,,clinic,,,,,"50109741",,,,a6930f5b18aa4baa92dbb5dca07eb5ae,,,,,,,"1",,2017/07/07 14:04:13,Clinique Ophtalmologique,,Jacques Cartier,,,,,,
,,"201944682",way,13,,doctors,,,,,"68404087",,,,8128762ad35f4e2183e6e55d2f63194d,,,,bing,,,"4",,2019/03/22 09:57:14,Dispensaire AMA,,Jean-Marc Liotier,,,,,,
,,"492677166",way,10,,pharmacy,,,,,"48576290",,,,7052f31300c14a95bb31e2e31a5405bd,,,,,,,"1",,2017/05/10 22:46:56,Pharmacie Sanou Awa,,Ndangane,,,,,,
-16.9256482820419,14.7966851939294,"5379485932",node,10,,pharmacy,,,,,"55981081",,,,cd44e743d1c846269c0eb7ffdfe035e8,,,,,,,"1",,2018/02/01 23:29:43,Pharmacie du Rail,,CRCulver,,,,,,
,,"587057039",way,13,,hospital,,,,,"62708649",,,,db10bd1de7b742a69da4742b30a4f54d,,,,Field survey,,,"3",,2018/09/18 19:48:16,Centre médical Garnison Saint-Louis,,loxdi,,,,,,
,,"202175615",way,13,,hospital,,,,,"65823804",,,,ee0cfc8bb1c04d0e8ccc34c247c2bdbd,,,,bing,,,"4",,2018/12/27 20:09:50,Service Medical des Etudiants de l'Université Gaston Berger,,Ibou1003,,,,,,
-17.420042351696,14.7420690481269,"4485624901",node,13,,doctors,,,,,"71224078",,,,606b1bb0080b47aeb21b9d7b4f1ea139,,,,,,,"4",,2019/06/13 16:06:45,Poste de Santé Dalifort,,mapman44,,,,,doctor,
-16.2590823774911,12.5840314838325,"2280705604",node,17,,pharmacy,,,,,"15859559",,,,9dd28b7a7bc14e3eb10e9d042d5b8599,,24/7,,,,,"1",,2013/04/25 11:24:29,Goumel,,Mohamed Ndiaye,,,,no,,
,,"423878526",way,10,,pharmacy,,,,,"39909443",,,,244c7c6d0dc944f4b2c871cc10b783bf,,,,,,,"1",,2016/06/09 14:06:05,PHARMACIE AL MAHDI,,Maarame DIAW,,,,,,
-17.3564572342217,14.776930640711,"5137766221",node,10,,doctors,,,,,"52479721",,,,7a17c184994b4eabadf576d9d07b04df,,,,,,,"1",,2017/09/29 16:18:48,Darou Salam,,Lord Salomon,,,,,,
-17.3372253764852,14.7933865797545,"4847285688",node,10,,dentist,,,,,"48587372",,,,374a94ac2bb049c5871f461be87d54a2,,,,,,,"1",,2017/05/11 10:29:07,Taysiroul haissir,,Adau50,,,,,,
,,"265763636",way,6,,clinic,,,,,"21061574",,,,22f9d17022bb46e69c30be47db912da7,,,,,,,"1",,2014/03/12 11:00:47,,,pstng,,,,,,
-17.4870823220203,14.7178114850666,"2568647649",node,10,,pharmacy,,,,,"19311600",,,,c3eb30f8aed94c4e9385382b74ea7091,,,,,,,"1",,2013/12/06 19:39:18,Pharmacie Ouakam,,SeverinGeo,,,,,,
,,"-5605265",way,10,,hospital,,,,,,,,,f14be33e6dae4a74b01953fb73d79fb4,,,,,,,,yes,,Hôpital de la Paix,,,,,,,,
-15.9050569389798,13.7636015461964,"6970486439",node,10,,pharmacy,,,,,"76987345",,,,273c3dcd89a24ad49aee479caf71d8de,,,,,,,"1",,2019/11/13 01:16:53,PHARMACIE M L NIASSE,,VIT SÉNÉGAL,,,,,,
-17.4910511531729,14.720369055182,"3213509766",node,10,,pharmacy,,,,,"27144612",,,,ed80038eb9674264a03ec57e9f5d8a76,,,,,,,"1",,2014/12/01 00:41:09,Pharmacie de la Renaissance,,SeverinGeo,,,,,,
-14.6523643267965,16.5105962191869,"3631922824",node,10,,pharmacy,,,,,"32364532",,,,8cf4024ab1b64e89874f07c8fc53532c,,,,local knowledge:2015,,,"1",,2015/07/02 19:23:23,,,DLichti,,,,,,
,,"451800649",way,10,,hospital,,,,,"78744712",,,,91acf6307ba041d395b137cbadedebab,,,,,,,"4",,2019/12/22 21:26:32,Hôpital,,ألبرشت شونكه,,,,,,
,,"316471185",way,13,,hospital,,,,,"33940041",,,,68ba3c84dfc24b01ae66898185307bcb,,,,,,,"6",yes,2015/09/10 18:23:06,Hôpital Amadou Sakhir Mbaye,,Jean-Marc Liotier,,,,,,
-17.4414023746482,14.6720093295463,"4931377122",node,10,,pharmacy,,,,,"49754961",,,,1839c3a68db44dac97968fd56f5bb281,,,,,,,"1",,2017/06/22 19:12:57,DARDANELLES,,Papa Babacar Samba,,,,,,
,,"658411210",way,17,,doctors,,,,,"71224078",,,,a85bac123f5347369602229990608096,,,,survey,,,"3",,2019/06/13 16:06:45,poste de santé municipal 1,,mapman44,,,,,doctor,
-17.4469016575013,14.7074261393966,"5578100685",node,13,,pharmacy,,,,,"71224527",,,,a8a4d49d34f14cc6bcb0608b352ab051,,,,,,,"2",,2019/06/13 16:20:37,Pharmacie Ouagou Niayes,,mapman44,,,,,pharmacy,
-17.4442717515616,14.6941649627477,"5179114355",node,17,,pharmacy,,,,,"72669214",,,,b48499c92ead492d9b7091a6b368b9ca,,08:00-00:00,,,,,"3",,2019/07/26 04:41:18,Dabakh Malick,,HubMiner,,,,,pharmacy,
,,"560306242",way,13,,hospital,,,,,"56238606",,,,5eaaa95242b94e7db10be6c8c28ae46a,,,,,,,"1",,2018/02/10 11:25:47,Temporary Dar Salaam Health Post,,ElleDj,,,,,hospital,
-17.3617902201158,14.7402968623389,"6072007585",node,10,,pharmacy,,,,,"71224611",,,,ce1c25675ca74d1cbe99b86a1dcc7ec0,,,,,,,"2",,2019/06/13 16:23:01,,,mapman44,,,,,pharmacy,
-17.3802651081767,14.7545074571603,"1407325797",node,6,,hospital,,,,,"9086537",,,,298aaff8957649ee92709807fa9fb8cf,,,,,,,"1",,2011/08/21 17:33:42,,,smataleb,,,,,,
-17.2245742742138,14.6851622958252,"4820204457",node,10,,doctors,,,,,"68404386",,,,771147f27429427689721f00e5c7ea68,,,,,,,"3",,2019/03/22 10:01:37,Case de Santé de Bargny-Guédj,,Jean-Marc Liotier,,,,,,
-17.4383178342803,14.665867741453,"3664148091",node,10,,pharmacy,,,,,"32842304",,,,328bea194026456c8e092001145c3722,,,,,,,"1",,2015/07/24 07:54:44,Pharmacie du Théâtre Sorano,,user_16881,,,,,,
,,"437767976",way,13,,hospital,,,Pathe Diop,,"60325840",,,,559bf9d84e504c5ab691ba3c70e5b487,,,,,,,"2",,2018/07/01 16:55:10,Health Post,,jgrady,,,,,,
-17.4372025382441,14.763077450241,"4387387017",node,10,,pharmacy,,,,,"70940288",,,,929b7a5a84f44c37a191c0dfa01238d9,,,,,,,"2",,2019/06/04 23:07:30,,,mapman44,,,,,pharmacy,
-17.4538254447988,14.7415232185922,"4956827015",node,10,,pharmacy,,,,,"50109006",,,,754c1c93849a4715ba2b2f0d52da4d7d,,,,,,,"1",,2017/07/07 13:31:23,Phamacie Amine Kané,,Jacques Cartier,,,,,,
-14.6460465510985,16.5105477717865,"3631922823",node,10,,pharmacy,,,,,"32364532",,,,f3bd261d2e7b4d52a6aa03fdfc0b292e,,,,knowledge:2015,,,"1",,2015/07/02 19:23:23,,,DLichti,,,,,,
-17.4351736147619,14.6626635913268,"554251098",node,10,,pharmacy,,,,,"51549990",,,,8c1ce9709e674004b00771a89f3e9391,,,,,,,"2",,2017/08/29 16:35:12,Pharmacie Mandela,,ALY CISSE UGBSL,,,,,,
-16.4567739224281,14.6994212542278,"6335916572",node,20,,pharmacy,,,Privée,,"68106147",,,,32b2e2c9bcec46b5894cfd8d9f5bc4a5,,08:22h,,,,,"1",,2019/03/13 16:32:55,Pharmacy Darou Salam,,cheikhounacasset,limited,,,,,
-14.5583320298635,13.0613914307622,"5766775853",node,10,,clinic,,,,,"78276416",,,,0715fe69e9a74ea9ba94abd9f8bc0d77,,,,,,,"2",,2019/12/11 18:42:34,Poste de Santé Fafacourou,,CRCulver,,,,,,
-16.4501609361003,16.0645826622884,"6630813387",node,68,,doctors,,Bango,Elhadj Seck,powered_pump,"72455444",no,"1","+221339614802",17432e78a6864ef28905e422d4b6a69f,,"Mo 09:00-13:00; Tu 09:00-13:00; We 09:00-13:00; Th 09:00-13:00; Fr off; Sa 09:00-13:00; Su off; PH off",operational,healthsites.io,,emergency_department,"2",True,2019/07/20 09:23:50,Infirmerie privée Yaye Bineta,"1",mueschel,True,"1",,False,"clinic;doctor",private
-17.4599685416346,14.6817159925164,"5179056590",node,13,,pharmacy,,,,,"72669214",,,,36a9b39be28e48c69990803c288ac0ba,,08:00-23:00,,,,,"3",,2019/07/26 04:41:18,Penda sarr,,HubMiner,,,,,,
-17.4490170822242,14.7425919950659,"4956886102",node,10,,clinic,,,,,"50110028",,,,917dc0349a604e5d922e849a6fb76fe6,,,,,,,"1",,2017/07/07 14:17:07,Plateau Medical,,michelle diatta,,,,,,
-17.3910107080451,14.7643375855641,"4485624898",node,17,,dentist,dentist,,,,"68198605",,,,a9de6510ae5d4450999963925a7a9c75,,24/7,,,,,"4",,2019/03/16 09:34:29,Clinique Dentaire La Pikinoise,,b-jazz-bot,,,,,,
-16.9282941135977,14.7906441886742,"2156306956",node,13,,dentist,,,,,"78693457",,,,42b6adbe64134140ace5d92a0a5076f5,,,,"bing;survey",,,"2",,2019/12/20 17:28:28,Aminata,,CRCulver,,,,,,
,,"381128159",way,10,,doctors,,,,,"68404386",,,,3e7d4560f6014d2aafb9d27712521f0c,,,,,,,"2",,2019/03/22 10:01:40,Centre de Santé de Pété,,Jean-Marc Liotier,,,,,,
-17.4390761450605,14.7642856177644,"4712187261",node,13,,pharmacy,,,,,"70940288",,,,0e48841f3ce14997a218272007d90e8b,,,,knowledge,,,"2",,2019/06/04 23:07:30,,,mapman44,,,,,pharmacy,
-16.22492603824,15.9446085426714,"6630801285",node,58,,doctors,,Ndakhar Peul,Ministère de la santé et de l'action sociale,water_works,"72455444",no,,,70a959c495d948a0a587d9ebbba478e5,,"Mo 09:00-18:30; Tu 09:00-18:30; We 09:00-18:30; Th 09:00-18:30; Fr 09:00-18:30; Sa off; Su off; PH off",operational,healthsites.io,,,"2",False,2019/07/20 09:23:50,Case de santé Ndakhar Peul,"1",mueschel,False,"1",,False,"doctor;pharmacy;birthing_center",public
-17.451678755577,14.6830452785406,"6973650595",node,10,,pharmacy,,,,,"77019216",,,,d51d7e84e77e4f86b597121e29bb8fe6,,,,,,,"1",,2019/11/13 14:44:08,Pharmacie medina,,moudiouf1,,,,,,
-17.46660164453,14.7184687939135,"5571994760",node,10,,dentist,,,,,"58319388",,,,19e3657dac8549c7ac8c06a37b3f73b8,,,,,,,"1",,2018/04/22 19:57:39,Cabinet Dentaire Smile,,SeverinGeo,,,,,,
-17.4566965819118,14.7315746538966,"4735865541",node,10,,clinic,,,,,"46864000",,,,d611e1c2d28f4503a7fe1a451972ff77,,,,,,,"1",,2017/03/15 09:58:02,Clinique de l'amitié,,AlassaneC,,,,,,
-17.4497742195379,14.6918133359933,"5567748014",node,13,,pharmacy,,,,,"71224527",,,,8c8d0ba9319b45efb2a4b3c569f0014a,,,,,,,"3",,2019/06/13 16:20:37,keur djim,,mapman44,,,,,pharmacy,
,,"454875156",way,17,,pharmacy,,,,,"71224611",,,,66ce35f8ef2546039f688d49cb159a6e,,,,,,,"2",,2019/06/13 16:23:01,pharmacie soukeyna,,mapman44,,,,yes,pharmacy,
,,"200072866",way,17,,pharmacy,,,,,"14774895",,,,33566f6441ea44a1ac375c31d3bdf9ad,,,,bing,,,"2",,2013/01/24 21:40:07,Pharmacie du Fognie,,Bolondin,,,,no,,
-17.471469350979,14.7035875630193,"1769300539",node,10,,pharmacy,,,,,"19844842",,,,e29b64d3195041609b9abcca7b076736,,,,,,,"2",,2014/01/06 14:43:35,Pharmacie Mermoz,,Cisse4,,,,,,
-17.4678249832982,14.7462671243314,"3584117823",node,10,,dentist,,,,,"31853248",,,,2095736fbf414b36b92b5c886b7e56d7,,,,,,,"1",,2015/06/09 19:20:01,Sen Dentiste,,ngagne,,,,,,
-17.444119703838,14.6996187318666,"2639685526",node,20,,doctors,,,,,"71224527",,,,213a8101bc854e878d7eca6d2a673cea,,,,"survey;Bing",,,"5",,2019/06/13 16:20:37,Centre de Santé des Douanes,,mapman44,,,,,doctor,government
-17.4300082669312,14.756873249331,"3452365681",node,13,,doctors,,,,,"70940288",,,,283a396e7538490e9c97a7df23f1eaf9,,,,,,,"4",,2019/06/04 23:07:30,Poste de santé Unité08,,mapman44,,,,,doctor,
